,ethereum_address,ether_balance,unique_tokens,unique_transfers
214,0x3eb01b3391ea15ce752d01cf3d3f09dec596f650,31071.954511929333,102,243
215,0x4f76ff660dc5e37b098de28e6ec32978e4b5beb6,9515.292517168204,12,7
216,0x41603ef230eea286edd9a7d5b14de8952e54f8e2,10593.662602508713,62,3
217,0x00cdc153aa8894d08207719fe921fff964f28ba3,1268.1377663296312,28,309
218,0x247f2338c7bc8afdf8b7e15f57105b3fb092e12d,1179.2061584377777,38,2
219,0xbfd19ffe2d8095a17d164dbc3256b0645da4ad50,1852.990739945,36,2
220,0xbe3d7b625315ab5271581f389756d44d0b340ee6,1020.0133540810999,85,3
221,0x7471cc21f84b2eeb1ba3560ed6afc60a833b5dec,1000.0925202034437,12,23
222,0xaa14422d6f0ae5a758194ed15780c838d67f1ee1,2277.815978,43,2
223,0x0adf1f3dfa6e9c2136f0d3b46da357c72ddb5747,13797.415559,58,2
224,0xd6e5a9674403571f9bf1cfbd6b170d2da710d488,8063.54786,37,1
225,0x441acb751f69f4f1c577f48900754032d920de83,1075.0496240077778,42,2
226,0x620085b4100ec1cc540462ac82352f60edf3a952,1188.349031,44,2
227,0x3f10800282d1b7ddc78fa92d8230074e1bf6aeae,2000.962998,49,2
228,0x145d0a94b5591ab2f0bef52ab337f3ae5c341441,1013.6889420299999,50,2
229,0x5f6a28663d75cca5b1721571601ca09e35da02ea,1999.0,42,2
230,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,560000.000065,128,4
231,0x1e4c6b9ca0009da2cf6d757cd4a9740b57939401,2282.6200000000003,35,2
232,0x7c223e22738b1954866a8616f60769fd619e2a42,1375.0,28,2
233,0x8570f38a92fefc399a2560411f7c83061f386ab9,18399.999643,14,1
234,0xa2345cfdac2b338cf25b390b4107470d9675babb,3967.0936898799996,50,2
235,0x9037cc8e5858d4d2e2bad8c9f94e56e66c8e5b7e,1795.6760643500002,35,2
236,0x5b1aae56fe0e618e46e343e59ce2eddb9fdf3f1d,18105.992192518937,70,11
237,0x7e59ff3cadd8b99b2267689069ccf4820c903f1b,4040.192720168778,51,3
